nome do filme,data lançamento,gênero,duração (min),origem,receita fim semana abertura,receita noite abertura,orçamento,custo marketing
Paws,2017-10-05,animation,111,Brasil-DF,26.91,7.28,25.15,14.3
Pulse 2: Reckoning,2019-07-25,action,134,EUA-LA,84.77,35.36,46.43,36.18
Eclipse,2023-10-12,sci-fi,121,EUA-WA,54.27,20.96,78.08,58.1
Whisper,2018-08-03,drama,110,Canadá-AB,10.44,2.95,10.25,3.49
Paws,2015-08-06,animation,94,EUA-IL,20.86,3.76,34.78,14.92
Echo,2020-06-18,drama,100,EUA-CA,12.11,3.54,21.02,6.73
Aurora: Legacy,2022-11-10,fantasy,147,França-OCC,28.65,8.4,30.0,17.06
Frontier,2023-07-20,western,108,EUA-CA,15.9,5.54,21.21,7.37
Storm,2023-07-16,action,132,Brasil-SC,35.05,16.71,36.65,19.55
MegaPik Quantum,2019-07-04,sci-fi,127,Austrália-VIC,52.23,27.34,43.24,46.08
Chronicles,2017-05-11,fantasy,120,Brasil-RJ,30.67,9.45,44.15,15.89
Voyage,2016-08-12,adventure,130,EUA-NM,15.77,4.74,48.28,12.25
Voyage,2023-12-07,adventure,116,EUA-NY,49.7,17.05,58.99,45.83
Rift 3,2021-09-09,sci-fi,144,Japão-Kanagawa,13.7,4.05,20.37,7.99
Odyssey,2012-08-23,adventure,123,EUA-MA,21.7,5.31,37.68,13.18
Rift,2024-07-18,sci-fi,155,Brasil-RJ,14.68,6.24,18.64,12.19
Whisper: Legacy,2013-03-29,drama,99,Brasil-AM,11.14,3.11,8.05,2.15
Harmony: Reckoning,2016-07-15,romance,109,EUA-MA,21.19,6.4,17.3,7.12
Harmony: Reckoning,2022-04-28,romance,124,Brasil-BA,16.67,4.08,56.09,10.96
Pulse: Afterlight,2018-03-09,action,119,EUA-NY,16.27,4.09,23.1,10.44
Rift: Uprising,2021-10-08,sci-fi,141,EUA-PA,42.17,10.24,47.17,32.55
Whisper,2019-05-20,drama,128,EUA-LA,2.98,0.59,1.96,0.5
Storm 5,2021-02-09,action,125,EUA-GA,48.63,11.43,58.36,43.2
MegaPik Pulse,2020-07-16,action,136,EUA-CA,29.37,10.72,30.34,18.52
Embers,2016-08-01,drama,132,EUA-LA,11.27,3.36,15.78,5.58
MegaPik Voyage: Afterlight,2022-06-09,adventure,110,Brasil-AM,37.08,16.04,38.41,23.2
Haunt,2016-03-17,horror,89,EUA-PA,11.01,5.1,8.83,4.38
Storm,2021-03-25,action,112,EUA-NY,25.37,9.11,26.39,14.71
Chronicles,2012-04-06,fantasy,132,EUA-TX,21.56,5.08,15.23,11.4
Paws: Reckoning,2013-07-08,animation,90,EUA-WA,46.6,11.56,40.36,21.3
Embers,2021-12-01,drama,114,EUA-LA,6.2,1.45,8.45,3.32
MegaPik Neon 2: Eclipse,2024-08-30,thriller,93,Canadá,26.56,8.3,23.28,15.68
Embers 3,2014-07-18,drama,145,EUA-GA,11.75,3.6,13.37,3.43
Paws: Afterlight,2016-04-15,animation,116,EUA-WA,23.72,6.59,25.68,8.94
Rift,2025-02-14,sci-fi,120,Índia,23.62,8.79,48.45,29.53
Storm,2019-09-20,action,111,EUA,24.71,9.46,36.96,20.9
Eclipse: Legacy,2021-01-25,sci-fi,126,França-IDF,24.91,8.37,47.38,15.53
Frontier,2024-12-19,western,115,EUA,16.22,4.65,21.98,7.92
Haunt 2,2015-04-16,horror,104,México-MEX,10.16,4.64,11.23,6.94
Rush 6,2021-02-26,action,105,EUA-CA,23.71,8.23,30.13,22.48
Eclipse,2018-02-24,sci-fi,148,Reino Unido-NIR,30.63,8.95,42.66,27.22
MegaPik Embers,2022-09-09,drama,109,Brasil-AM,11.84,3.54,17.27,4.09
MegaPik Shadow,2022-07-29,thriller,113,EUA-MA,11.5,2.89,10.23,5.26
Aurora,2021-05-28,fantasy,165,Brasil,26.68,11.24,25.27,13.35
Echo,2019-06-13,drama,100,Reino Unido-WLS,18.18,6.79,16.18,4.26
MegaPik Rush,2025-05-09,action,107,Canadá,29.37,10.42,26.95,13.21
Neon,2018-02-01,thriller,121,EUA-NM,27.62,8.38,28.75,18.2
MegaPik Aurora,2021-09-27,fantasy,122,França-NAQ,18.8,5.26,20.54,13.99
Rift,2018-08-19,sci-fi,118,EUA-NM,15.52,4.25,18.19,13.92
Haunt: Eclipse,2016-07-15,horror,104,EUA-GA,17.79,6.29,11.18,5.36
Whisper 2,2019-07-26,drama,90,EUA-TX,9.94,3.49,13.13,3.84
Odyssey 2,2022-06-16,adventure,101,Brasil,32.89,12.35,20.99,10.88
Haunt,2011-10-26,horror,90,Canadá-QC,24.02,5.5,26.56,24.03
MegaPik Frontier: Eclipse,2018-05-03,western,115,EUA-GA,11.03,2.54,13.35,8.55
Storm,2012-04-21,action,136,Coreia do Sul-Gyeonggi,12.62,4.87,7.32,5.68
Haunt: Reckoning,2019-03-15,horror,90,Japão-Aichi,16.04,5.84,21.85,12.37
Shadow,2020-11-20,thriller,108,EUA-GA,11.82,5.49,20.18,11.4
Embers,2022-02-10,drama,136,Índia-KA,6.99,2.11,12.81,4.57
Shadow,2019-06-05,thriller,94,EUA-CA,16.02,4.81,29.95,6.39
Eclipse 3,2018-03-02,sci-fi,126,Índia-TN,106.84,44.99,126.77,55.35
Storm: Revenant,2019-04-01,action,126,Coreia do Sul-Gyeonggi,28.98,6.56,28.22,28.44
MegaPik Harmony 3,2018-06-14,romance,95,Japão,16.31,7.24,19.71,6.99
Harmony 2,2014-08-08,romance,116,Brasil,15.37,5.36,15.92,6.44
Paws,2017-02-10,animation,101,EUA-TX,27.58,10.44,25.64,16.03
Shadow 5,2021-06-25,thriller,104,França-NAQ,24.84,5.7,24.55,15.07
Echo: Afterlight,2020-06-11,drama,137,Brasil-RJ,14.47,3.82,20.38,5.71
Whisper,2018-10-25,drama,107,México-MEX,12.44,3.74,26.9,6.76
Whisper,2023-10-12,drama,117,EUA-TX,6.44,1.83,12.62,4.01
Rift: Legacy,2025-03-07,sci-fi,138,EUA,21.44,4.58,22.32,16.2
Rift,2015-04-11,sci-fi,126,EUA-IL,18.96,6.09,25.66,13.05
Whisper,2023-10-19,drama,90,Índia-DL,11.22,3.9,18.73,6.1
Haunt: Reckoning,2014-07-27,horror,103,EUA-MA,15.93,4.27,22.87,13.09
Neon,2021-07-02,thriller,117,EUA-PA,22.43,7.3,39.08,11.15
Paws: Horizons,2014-02-21,animation,106,EUA-IL,20.04,6.71,27.78,12.15
Quantum,2014-07-10,sci-fi,126,Índia-KA,42.03,10.77,40.94,32.25
MegaPik Rift,2021-05-14,sci-fi,139,Brasil-AM,30.7,9.52,39.89,20.55
Odyssey: Reckoning,2023-05-16,adventure,116,Espanha,27.59,10.26,97.74,59.44
Eclipse,2016-11-08,sci-fi,115,Brasil-PB,45.59,17.27,33.97,27.07
Aurora,2019-06-27,fantasy,129,EUA-WA,30.37,11.22,33.81,28.94
MegaPik Pulse,2014-08-05,action,102,EUA,24.3,7.87,22.1,14.44
Harmony,2017-03-01,romance,115,EUA-WA,8.56,2.89,30.2,13.07
MegaPik Aurora: Eclipse,2016-06-09,fantasy,126,Austrália-WA,16.97,5.83,18.63,11.29
Storm,2020-10-15,action,114,EUA-GA,35.6,18.02,38.12,27.9
Harmony,2020-12-31,romance,96,EUA-GA,26.2,5.58,13.79,7.14
MegaPik Chronicles,2019-07-19,fantasy,144,Brasil-PR,37.65,9.69,51.1,33.86
Pulse,2022-07-23,action,118,EUA-MA,26.49,10.54,54.68,28.97
Neon,2015-12-25,thriller,105,EUA-TX,14.14,5.56,7.55,2.02
Paws: Uprising,2015-03-20,animation,113,Canadá-ON,26.36,8.12,33.45,16.38
Shadow,2020-05-08,thriller,112,Canadá,26.13,8.07,23.28,13.2
Chronicles 2,2021-05-14,fantasy,118,EUA-LA,56.94,16.93,67.4,25.33
Haunt,2013-01-18,horror,98,México-CDMX,8.86,4.38,18.34,8.38
Storm,2022-02-04,action,122,Alemanha-BE,36.71,12.44,36.38,27.29
Echo,2025-09-25,drama,125,EUA-IL,5.68,2.0,12.97,2.67
MegaPik Echo,2022-10-20,drama,114,Canadá-BC,9.44,2.74,16.3,6.83
Rush,2016-03-16,action,129,EUA-LA,31.7,10.76,20.08,15.91
Shadow,2022-12-23,thriller,122,EUA-GA,23.21,8.13,30.71,13.18
Echo,2023-10-12,drama,115,EUA-MA,5.93,1.41,9.51,2.03
Chronicles,2012-12-07,fantasy,139,Índia-TN,15.38,4.81,15.97,5.3
Voyage: Horizons,2014-06-05,adventure,103,Brasil-PA,61.52,21.31,60.96,43.89
Whisper: Afterlight,2024-07-25,drama,109,Índia-KA,7.42,3.09,13.94,3.91
Storm,2021-08-26,action,90,EUA-TX,48.57,22.86,65.51,41.07
Whisper,2015-05-14,drama,109,EUA-MA,6.3,1.71,11.73,4.58
Haunt,2012-06-07,horror,107,EUA-IL,31.14,10.31,29.28,19.59
MegaPik Harmony,2010-02-04,romance,108,Canadá,14.11,3.77,17.18,7.06
Voyage,2017-06-14,adventure,129,França-ARA,65.24,15.0,49.23,37.25
Harmony,2018-08-20,romance,98,Brasil-PE,10.74,3.67,14.63,5.81
Echo: Horizons,2021-03-26,drama,113,EUA-PA,6.77,2.64,13.89,4.19
Whisper 3,2011-11-17,drama,75,EUA-MA,9.2,3.23,8.63,3.94
Odyssey 2,2023-01-26,adventure,135,EUA-TX,24.94,7.05,27.38,17.96
Embers: Origins,2023-08-03,drama,91,EUA-GA,14.04,5.01,22.68,8.83
Neon,2023-02-22,thriller,109,EUA-PA,15.72,4.89,21.68,10.26
MegaPik Rush,2020-07-12,action,119,Reino Unido-SCT,27.53,11.33,31.88,19.0
Rift,2014-07-03,sci-fi,121,Nigéria-Lagos,64.8,21.34,102.85,57.59
Quantum,2022-07-07,sci-fi,144,EUA-TX,53.54,17.95,86.64,51.44
Neon,2025-12-25,thriller,128,EUA-IL,36.91,15.08,40.65,15.4
Chronicles: Reckoning,2012-04-05,fantasy,124,Reino Unido-SCT,15.68,5.52,11.98,5.33
Chronicles,2018-10-11,fantasy,135,EUA-GA,38.24,15.84,44.21,27.34
Storm,2025-10-23,action,116,Índia-WB,29.56,10.57,27.22,18.87
Neon: Legacy,2017-07-21,thriller,111,EUA-PA,28.81,9.34,32.68,18.9
Storm 4: Origins,2014-02-06,action,119,Reino Unido-WLS,49.1,22.11,81.08,38.84
Rift,2011-10-20,sci-fi,129,Brasil,24.46,8.28,37.82,25.66
Embers,2023-12-19,drama,80,EUA-NY,8.81,3.03,9.99,3.43
MegaPik Chronicles,2020-10-17,fantasy,147,Nigéria-Rivers,32.8,10.1,17.47,11.14
Storm,2018-04-06,action,120,Brasil-PB,40.71,15.19,38.35,22.8
Embers,2024-08-13,drama,94,Reino Unido-ENG,9.17,3.55,19.67,4.76
Voyage,2017-05-19,adventure,134,EUA-MA,13.74,5.75,14.19,7.76
Haunt 2,2021-01-07,horror,89,EUA-MA,14.86,6.9,19.93,10.54
Odyssey 2,2017-05-05,adventure,110,França-ARA,39.03,14.75,47.92,13.54
Odyssey,2024-09-13,adventure,132,Brasil-BA,24.69,7.46,21.28,13.63
Chronicles,2012-07-27,fantasy,141,EUA-MA,11.38,2.92,38.83,3.88
MegaPik Odyssey 5,2016-07-01,adventure,123,Índia-WB,34.66,6.24,24.83,15.13
Voyage 2,2018-03-29,adventure,127,Brasil-PE,58.39,25.26,60.22,32.71
MegaPik Mirage,2023-04-07,thriller,116,EUA-WA,20.69,7.81,26.62,12.64
Odyssey 2: Afterlight,2023-09-08,adventure,109,EUA-LA,27.91,11.07,44.0,26.06
MegaPik Rush,2014-07-03,action,134,EUA,33.82,10.35,16.37,9.9
Embers,2024-06-21,drama,100,Brasil-RS,12.08,4.28,14.0,3.51
Voyage,2019-08-07,adventure,120,Brasil-CE,36.66,13.26,33.37,16.42
MegaPik Haunt,2023-08-23,horror,108,Reino Unido-NIR,11.64,4.47,10.61,4.5
Haunt 4: Afterlight,2011-12-16,horror,95,Brasil-AM,10.75,4.19,9.67,5.62
Haunt: Reckoning,2011-06-03,horror,91,Canadá-QC,9.84,3.98,9.01,5.33
Harmony 2,2022-11-13,romance,114,Brasil-DF,12.78,2.3,19.94,7.85
Rush,2025-11-14,action,127,EUA-NY,31.71,13.56,36.94,22.07
Storm 2,2020-01-10,action,110,EUA-GA,77.91,29.33,99.22,54.86
Rush,2021-06-04,action,135,Canadá-QC,22.74,8.01,27.97,15.41
Pulse,2012-06-07,action,110,EUA-NM,43.15,16.8,44.03,30.82
Odyssey 5: Uprising,2024-06-13,adventure,117,EUA-PA,50.24,12.42,53.47,15.65
Frontier,2017-02-03,western,125,EUA-MA,12.81,4.21,24.25,13.01
Pulse: Reckoning,2020-07-24,action,128,Reino Unido-ENG,18.61,7.55,14.75,7.44
Paws 2: Horizons,2016-10-16,animation,103,Índia-TN,16.25,5.61,18.79,9.67
Embers,2023-04-07,drama,107,EUA-PA,25.95,6.0,52.75,21.27
Aurora: Uprising,2020-05-11,fantasy,140,EUA-TX,13.94,2.51,16.05,9.33
Whisper: Afterlight,2018-06-07,drama,132,França-IDF,15.7,3.98,14.23,7.4
Echo,2018-03-22,drama,97,EUA-NM,3.47,1.26,1.58,0.49
Eclipse,2014-06-12,sci-fi,112,Japão-Osaka,16.13,5.57,17.92,9.16
Whisper: Reckoning,2021-08-16,drama,124,Índia-TN,14.37,3.87,21.95,5.95
Aurora: Revenant,2017-07-07,fantasy,132,EUA-PA,33.79,12.15,63.63,44.99
Neon,2016-11-10,thriller,130,Brasil-PE,9.8,3.68,10.65,4.61
Whisper 2,2010-04-08,drama,123,EUA-PA,5.44,0.98,14.3,3.85
Voyage: Uprising,2017-07-21,adventure,127,EUA-WA,31.61,5.72,51.49,25.57
Embers: Revenant,2021-03-26,drama,102,Brasil-SC,9.91,3.48,7.4,1.5
Shadow: Reckoning,2024-09-01,thriller,104,Índia-TN,13.34,3.8,17.99,5.69
Haunt: Origins,2019-11-07,horror,90,Coreia do Sul-Busan,11.1,4.05,5.89,2.03
Quantum 3,2020-03-15,sci-fi,144,Brasil-AM,50.22,12.37,69.56,40.57
Harmony,2017-03-16,romance,132,EUA-LA,9.58,2.96,10.58,2.42
Neon,2019-03-21,thriller,102,EUA-CA,9.77,3.54,14.67,6.31
MegaPik Shadow 3,2015-02-13,thriller,111,EUA-PA,8.65,2.86,9.7,4.73
Aurora,2024-12-05,fantasy,135,EUA-LA,80.96,24.4,97.44,38.54
Shadow 2,2014-11-20,thriller,104,EUA,13.12,4.85,14.31,7.78
Embers,2015-05-28,drama,125,EUA-TX,13.55,3.97,16.25,4.54
Echo 6,2020-03-13,drama,115,EUA-IL,9.2,2.75,17.84,3.38
Rush,2011-07-29,action,131,Espanha-CAT,44.61,19.82,33.07,31.04
Haunt,2018-04-03,horror,96,EUA-PA,13.3,5.9,12.76,4.77
Chronicles,2024-11-29,fantasy,117,Índia-MH,25.02,9.95,21.05,11.33
Paws,2023-07-25,animation,91,Índia-MH,29.16,10.14,35.88,17.6
Pulse,2018-06-21,action,113,Coreia do Sul-Seoul,62.61,29.28,62.41,28.24
Frontier,2015-03-22,western,108,Canadá-ON,10.66,2.55,22.9,12.8
Odyssey,2021-06-22,adventure,127,Reino Unido-ENG,18.09,6.17,14.44,11.07
Quantum,2012-01-25,sci-fi,120,EUA-GA,76.03,27.29,106.17,82.14
Paws,2020-06-11,animation,86,Índia,24.34,6.11,41.06,23.8
Storm 5,2015-06-19,action,122,EUA-WA,55.61,20.75,70.07,40.25
Embers,2024-11-14,drama,132,Brasil-RS,15.81,7.13,14.3,3.12
MegaPik Rush,2016-04-08,action,122,EUA-TX,78.09,26.14,60.62,47.61
Paws,2018-05-07,animation,108,Alemanha-NRW,12.01,3.18,28.32,11.24
Rift 3: Uprising,2020-04-12,sci-fi,126,EUA-NM,25.33,8.33,32.14,17.83
Paws,2020-12-18,animation,105,EUA-IL,26.16,8.61,22.35,10.69
Chronicles 2,2019-12-20,fantasy,138,Brasil-PB,19.18,5.8,15.93,9.46
Voyage: Afterlight,2017-11-01,adventure,125,EUA-CA,33.95,15.06,45.37,28.8
Quantum,2020-02-07,sci-fi,130,EUA-CA,34.98,11.13,48.25,31.2
MegaPik Whisper,2017-05-05,drama,98,Brasil-CE,6.2,1.81,9.44,2.88
Rift,2022-11-24,sci-fi,140,EUA-MA,26.1,7.36,39.03,32.49
Quantum,2017-06-12,sci-fi,128,Brasil,21.87,9.37,25.58,15.36
Haunt: Eclipse,2011-11-11,horror,98,Brasil-RJ,12.03,3.88,11.15,4.5
Echo,2016-11-01,drama,78,EUA,9.49,2.78,7.39,2.29
Voyage,2025-10-17,adventure,109,EUA-TX,38.27,14.54,46.47,25.17
Embers,2021-07-16,drama,98,EUA-NY,10.04,2.43,16.84,6.96
Aurora,2020-07-02,fantasy,120,EUA-NM,43.39,17.13,39.05,27.21
Neon,2019-02-08,thriller,110,EUA-TX,18.57,8.28,28.29,18.3
Chronicles,2022-12-15,fantasy,119,EUA-IL,35.83,18.15,27.9,20.57
Frontier 4,2021-10-07,western,121,EUA-MA,12.5,3.39,13.78,5.63
Paws,2017-10-19,animation,91,EUA-IL,18.64,6.86,18.61,9.49
Rift,2020-05-28,sci-fi,133,EUA-TX,48.89,14.92,54.67,28.66
Harmony,2019-01-09,romance,121,França-IDF,6.56,1.76,8.78,4.65
Shadow,2016-09-09,thriller,117,França-ARA,10.63,4.2,27.9,11.65
Harmony,2019-03-22,romance,107,EUA-TX,6.11,2.7,5.31,1.93
MegaPik Aurora,2023-11-10,fantasy,147,Brasil,18.79,4.34,27.73,17.12
Rush,2017-06-15,action,115,EUA-PA,53.3,25.75,50.52,39.73
Frontier: Origins,2020-11-05,western,123,EUA-CA,8.41,3.27,10.52,6.04
Chronicles,2020-11-20,fantasy,154,EUA-MA,29.4,12.65,41.05,26.36
Voyage,2019-01-18,adventure,107,EUA-IL,14.85,4.95,41.45,13.21
Chronicles,2023-10-06,fantasy,116,Canadá-AB,22.67,8.71,25.03,10.76
Haunt,2023-08-25,horror,95,EUA-WA,8.72,4.2,8.28,4.93
Storm 2: Horizons,2015-06-27,action,113,EUA-CA,100.29,30.72,72.85,53.67
MegaPik Storm: Uprising,2019-01-07,action,140,Brasil-GO,11.46,4.24,24.76,7.99
Neon,2014-08-14,thriller,95,EUA-PA,19.02,6.44,18.34,6.02
Rift,2022-07-23,sci-fi,108,EUA-TX,62.13,18.34,51.19,51.87
Chronicles: Eclipse,2012-11-16,fantasy,154,EUA-PA,25.65,8.28,57.38,13.31
Embers,2023-04-20,drama,90,EUA-MA,8.59,3.48,9.19,4.23
Odyssey: Origins,2016-01-03,adventure,110,Japão-Aichi,15.57,4.73,31.87,12.14
Shadow,2020-07-16,thriller,112,EUA-NY,36.81,9.41,33.43,21.12
Aurora 4,2016-10-20,fantasy,136,Japão-Tóquio,9.77,2.44,6.28,1.8
Paws,2021-10-14,animation,112,EUA-IL,19.63,6.3,19.28,12.82
Shadow,2021-11-12,thriller,112,Austrália-VIC,9.05,3.45,7.63,3.84
Harmony 3: Uprising,2011-06-25,romance,107,Brasil-DF,18.06,3.96,15.7,6.55
Aurora,2014-12-25,fantasy,148,Reino Unido-ENG,20.89,6.82,17.78,11.67
Embers 2: Legacy,2011-05-08,drama,122,Brasil-DF,11.39,3.12,7.81,2.8
Eclipse,2015-02-13,sci-fi,152,Espanha-VAL,23.34,9.53,32.3,21.33
MegaPik Embers 2,2020-06-18,drama,122,Brasil-SC,16.65,5.06,23.07,6.58
Mirage,2016-12-02,thriller,115,Índia-MH,15.39,5.0,25.93,8.88
Whisper: Horizons,2012-10-25,drama,110,EUA,9.29,3.06,7.92,3.19
Aurora,2023-03-17,fantasy,129,EUA,19.71,4.87,35.23,10.39
Aurora,2024-07-26,fantasy,112,EUA-MA,14.05,3.89,27.47,12.79
Pulse,2015-02-24,action,106,Índia-MH,33.45,10.28,56.34,37.6
Rush,2015-01-08,action,138,Espanha-MAD,32.03,5.77,46.12,44.65
Neon: Origins,2010-03-12,thriller,106,EUA-PA,20.52,7.17,20.56,10.26
Shadow,2020-09-03,thriller,81,Japão-Osaka,20.8,5.48,26.39,13.58
MegaPik Embers: Afterlight,2017-08-13,drama,97,Canadá-QC,10.55,3.42,8.98,2.84
Aurora: Revenant,2021-08-26,fantasy,134,Brasil-SP,40.92,14.24,61.22,27.18
Eclipse: Origins,2014-01-08,sci-fi,132,EUA-GA,23.35,7.24,52.05,26.17
Echo 5,2010-07-15,drama,105,Nigéria-Lagos,12.14,4.11,10.95,2.23
Chronicles 3,2012-03-02,fantasy,153,Brasil-RS,15.75,5.52,19.31,8.67
Whisper: Legacy,2022-10-21,drama,104,EUA-IL,6.15,2.13,9.16,1.35
MegaPik Odyssey,2020-02-07,adventure,118,Índia-KA,17.92,6.75,21.19,9.75
Embers: Reckoning,2016-02-26,drama,127,Brasil,8.95,2.01,6.58,2.77
Shadow,2012-03-15,thriller,100,Canadá-MB,12.64,4.64,19.94,8.81
Mirage 2,2023-04-04,thriller,118,EUA-LA,8.5,3.4,17.05,7.52
Eclipse,2020-09-24,sci-fi,125,Reino Unido-WLS,48.85,18.06,57.87,45.03
Eclipse: Afterlight,2017-07-07,sci-fi,120,Índia-DL,26.28,9.27,18.85,14.99
Odyssey,2012-06-24,adventure,136,Reino Unido-ENG,14.87,3.58,22.52,11.92
Pulse,2019-01-11,action,114,Reino Unido-SCT,23.12,11.88,39.57,26.03
Neon,2021-03-25,thriller,94,Índia-KA,21.49,8.95,23.6,13.99
